epoch,accuracy,loss,val_accuracy,val_loss
0,0.7699999809265137,0.6480139493942261,0.8487499952316284,0.3387927711009979
1,0.8629999756813049,0.3548320233821869,0.8912500143051147,0.26551371812820435
2,0.8945000171661377,0.2949433922767639,0.8887500166893005,0.31295260787010193
3,0.8974999785423279,0.2781444787979126,0.8999999761581421,0.25099989771842957
4,0.9104999899864197,0.22869287431240082,0.8887500166893005,0.35167425870895386
5,0.9160000085830688,0.22520709037780762,0.9024999737739563,0.2683199942111969
6,0.9325000047683716,0.18973392248153687,0.9075000286102295,0.2852173149585724
7,0.940500020980835,0.16342267394065857,0.9075000286102295,0.31070876121520996
8,0.9445000290870667,0.1528668999671936,0.8899999856948853,0.33510804176330566
9,0.949999988079071,0.13128063082695007,0.8537499904632568,0.5671060085296631
